time,open,high,low,close,tick_volume,spread,real_volume
2026-08-18 16:45:00,4401.18,4402.22,4391.39,4395.11,4012,8,0
2026-08-18 16:50:00,4394.91,4398.15,4389.39,4390.88,4173,8,0
2026-08-18 16:55:00,4391.3,4395.03,4389.69,4394.46,3589,8,0
2026-08-18 17:00:00,4394.46,4406.53,4393.18,4403.98,3525,7,0
2026-08-18 17:05:00,4404.01,4404.56,4397.7,4398.12,3523,8,0
2026-08-18 17:10:00,4398.24,4399.06,4390.99,4393.14,3895,10,0
2026-08-18 17:15:00,4393.27,4404.95,4392.86,4401.48,3683,9,0
2026-08-18 17:20:00,4401.51,4402.76,4395.7,4397.73,3603,8,0
2026-08-18 17:25:00,4397.76,4398.82,4392.29,4394.13,3712,8,0
2026-08-18 17:30:00,4394.13,4396.26,4385.21,4389.75,3231,8,0
2026-08-18 17:35:00,4389.77,4390.06,4381.93,4382.83,3254,8,0
2026-08-18 17:40:00,4382.86,4384.89,4377.61,4379.58,3500,8,0
2026-08-18 17:45:00,4379.61,4388.4,4377.94,4386.81,3040,7,0
2026-08-18 17:50:00,4387.03,4388.77,4372.32,4378.68,3740,8,0
2026-08-18 17:55:00,4378.64,4382.96,4363.72,4366.58,3999,8,0
2026-08-18 18:00:00,4366.54,4376.58,4365.64,4375.5,3855,8,0
2026-08-18 18:05:00,4375.48,4377.6,4364.92,4365.69,3415,8,0
2026-08-18 18:10:00,4365.69,4368.31,4358.93,4359.87,3826,8,0
2026-08-18 18:15:00,4359.87,4365.17,4355.09,4355.14,3295,8,0
2026-08-18 18:20:00,4355.06,4356.95,4351.5,4354.47,3428,8,0
2026-08-18 18:25:00,4354.4,4360.99,4353.12,4354.87,2771,7,0
2026-08-18 18:30:00,4354.9,4362.04,4354.43,4359.69,2597,8,0
2026-08-18 18:35:00,4359.83,4362.33,4356.6,4361.09,2197,7,0
2026-08-18 18:40:00,4361.09,4362.0,4356.5,4358.57,2603,8,0
2026-08-18 18:45:00,4358.94,4365.01,4358.71,4364.02,2381,8,0
2026-08-18 18:50:00,4364.02,4366.62,4361.15,4364.51,1794,8,0
2026-08-18 18:55:00,4364.62,4365.97,4363.24,4364.74,1995,8,0
2026-08-18 19:00:00,4364.87,4369.24,4364.87,4368.12,2012,8,0
2026-08-18 19:05:00,4368.01,4371.6,4366.81,4371.39,2505,8,0
2026-08-18 19:10:00,4371.39,4371.61,4367.38,4367.63,2350,9,0
2026-08-18 19:15:00,4367.62,4368.35,4364.43,4367.11,2581,10,0
2026-08-18 19:20:00,4367.12,4369.67,4366.53,4368.24,2521,15,0
2026-08-18 19:25:00,4368.24,4369.11,4363.42,4363.91,2153,12,0
2026-08-18 19:30:00,4364.56,4366.79,4363.21,4365.72,2443,7,0
2026-08-18 19:35:00,4365.92,4367.07,4363.0,4365.17,2285,8,0
2026-08-18 19:40:00,4365.17,4368.57,4365.05,4367.31,2184,11,0
2026-08-18 19:45:00,4367.42,4367.72,4363.14,4363.49,2176,8,0
2026-08-18 19:50:00,4363.48,4368.77,4362.99,4368.53,1931,9,0
2026-08-18 19:55:00,4368.55,4368.55,4363.02,4363.79,2085,9,0
2026-08-18 20:00:00,4363.63,4365.76,4363.54,4364.47,2602,8,0
2026-08-18 20:05:00,4364.51,4366.19,4364.25,4365.71,2081,10,0
2026-08-18 20:10:00,4365.89,4367.11,4364.66,4366.86,1548,8,0
2026-08-18 20:15:00,4366.86,4368.27,4363.03,4364.28,1892,8,0
2026-08-18 20:20:00,4364.35,4367.48,4364.24,4367.48,2360,9,0
2026-08-18 20:25:00,4367.45,4368.26,4363.6,4365.35,2533,8,0
2026-08-18 20:30:00,4365.27,4366.21,4361.24,4364.38,2211,8,0
2026-08-18 20:35:00,4364.38,4365.25,4360.8,4362.63,2166,8,0
2026-08-18 20:40:00,4362.63,4365.1,4358.65,4358.67,2006,9,0
2026-08-18 20:45:00,4358.66,4360.47,4356.93,4357.88,2223,12,0
2026-08-18 20:50:00,4357.83,4359.81,4357.75,4358.6,1816,10,0
2026-08-18 20:55:00,4358.61,4359.11,4356.58,4357.68,2073,11,0
2026-08-18 21:00:00,4357.68,4357.95,4352.63,4353.48,2353,9,0
2026-08-18 21:05:00,4353.45,4355.78,4352.67,4355.65,2037,12,0
2026-08-18 21:10:00,4355.66,4358.12,4352.84,4357.78,1726,8,0
2026-08-18 21:15:00,4357.78,4359.06,4356.71,4358.92,1847,9,0
2026-08-18 21:20:00,4358.9,4359.35,4355.68,4356.96,1807,10,0
2026-08-18 21:25:00,4356.96,4360.98,4356.39,4360.19,1611,13,0
2026-08-18 21:30:00,4360.29,4360.54,4357.98,4359.66,1484,12,0
2026-08-18 21:35:00,4359.66,4360.25,4358.33,4359.65,1364,8,0
2026-08-18 21:40:00,4359.64,4359.78,4353.4,4354.16,1620,8,0
2026-08-18 21:45:00,4354.18,4355.49,4352.82,4353.85,1513,15,0
2026-08-18 21:50:00,4353.82,4355.14,4353.8,4354.56,1092,12,0
2026-08-18 21:55:00,4354.55,4356.05,4353.92,4354.2,1257,10,0
2026-08-18 22:00:00,4354.24,4358.01,4354.03,4355.29,1205,10,0
2026-08-18 22:05:00,4355.2,4356.92,4354.76,4355.22,963,8,0
2026-08-18 22:10:00,4355.2,4358.38,4354.59,4356.98,1335,8,0
2026-08-18 22:15:00,4356.96,4358.64,4353.96,4354.58,1289,11,0
2026-08-18 22:20:00,4354.58,4356.32,4352.59,4353.17,1308,11,0
2026-08-18 22:25:00,4353.12,4355.85,4352.38,4354.8,811,8,0
2026-08-18 22:30:00,4354.85,4356.75,4353.68,4354.15,1522,8,0
2026-08-18 22:35:00,4354.06,4355.59,4353.56,4354.92,614,7,0
2026-08-18 22:40:00,4354.9,4357.77,4349.64,4349.84,1088,8,0
2026-08-18 22:45:00,4349.93,4353.28,4343.73,4345.86,2152,7,0
2026-08-18 22:50:00,4345.74,4346.8,4342.1,4345.26,2446,8,0
2026-08-18 22:55:00,4345.53,4346.38,4338.24,4345.5,2774,7,0
2026-08-19 01:00:00,4316.78,4341.4,4314.8,4340.07,326,21,0
2026-08-19 01:05:00,4340.15,4343.31,4340.05,4341.9,405,8,0
2026-08-19 01:10:00,4341.85,4342.71,4339.15,4339.97,358,8,0
2026-08-19 01:15:00,4339.97,4341.31,4338.06,4338.59,607,8,0
2026-08-19 01:20:00,4338.59,4339.69,4333.15,4334.78,844,8,0
2026-08-19 01:25:00,4334.78,4338.66,4334.12,4335.97,702,7,0
2026-08-19 01:30:00,4335.97,4336.5,4334.79,4335.28,559,8,0
2026-08-19 01:35:00,4335.59,4336.33,4332.92,4333.55,571,8,0
2026-08-19 01:40:00,4333.35,4334.54,4332.38,4333.64,638,13,0
2026-08-19 01:45:00,4333.62,4334.77,4333.07,4334.59,436,21,0
2026-08-19 01:50:00,4334.59,4335.49,4333.67,4334.81,637,12,0
2026-08-19 01:55:00,4334.84,4334.95,4333.02,4333.74,468,11,0
2026-08-19 02:00:00,4333.74,4336.03,4332.8,4335.87,655,16,0
2026-08-19 02:05:00,4335.87,4338.23,4334.51,4335.15,715,12,0
2026-08-19 02:10:00,4335.15,4335.37,4332.57,4334.01,798,8,0
2026-08-19 02:15:00,4333.95,4334.86,4332.07,4332.34,584,9,0
2026-08-19 02:20:00,4332.37,4337.3,4330.55,4332.54,823,12,0
2026-08-19 02:25:00,4332.66,4333.56,4329.96,4330.41,995,16,0
2026-08-19 02:30:00,4330.44,4332.59,4327.01,4330.84,1073,9,0
2026-08-19 02:35:00,4330.84,4331.74,4327.14,4328.82,792,10,0
2026-08-19 02:40:00,4328.82,4330.25,4328.0,4329.73,1410,15,0
2026-08-19 02:45:00,4329.77,4332.02,4329.41,4330.91,1767,9,0
2026-08-19 02:50:00,4330.83,4334.19,4329.85,4333.88,902,8,0
2026-08-19 02:55:00,4333.88,4333.91,4331.36,4332.92,1610,15,0
2026-08-19 03:00:00,4332.77,4340.61,4331.49,4336.82,2615,8,0
2026-08-19 03:05:00,4336.82,4341.21,4335.91,4339.87,2421,8,0
2026-08-19 03:10:00,4339.87,4344.9,4338.15,4342.85,2109,8,0
2026-08-19 03:15:00,4342.78,4346.34,4342.78,4343.54,2073,9,0
2026-08-19 03:20:00,4343.56,4346.08,4341.45,4343.05,2082,8,0
2026-08-19 03:25:00,4343.05,4343.65,4339.07,4342.88,2065,10,0
2026-08-19 03:30:00,4342.86,4345.66,4339.55,4340.63,2049,8,0
2026-08-19 03:35:00,4340.63,4346.71,4340.45,4344.73,1970,8,0
2026-08-19 03:40:00,4344.68,4347.09,4343.02,4343.59,1684,13,0
2026-08-19 03:45:00,4343.62,4344.29,4342.3,4342.66,1675,12,0
2026-08-19 03:50:00,4342.66,4344.65,4341.17,4341.4,2611,18,0
2026-08-19 03:55:00,4341.32,4342.3,4337.05,4337.91,2483,9,0
2026-08-19 04:00:00,4337.79,4339.89,4324.46,4332.37,3927,8,0
2026-08-19 04:05:00,4332.44,4342.73,4331.38,4340.33,2934,8,0
2026-08-19 04:10:00,4340.38,4343.95,4336.97,4343.81,2836,15,0
2026-08-19 04:15:00,4343.83,4346.24,4334.46,4337.81,3265,8,0
2026-08-19 04:20:00,4337.81,4340.11,4332.97,4337.35,2989,8,0
2026-08-19 04:25:00,4337.4,4342.57,4335.51,4342.29,2440,7,0
2026-08-19 04:30:00,4342.38,4351.18,4342.3,4350.7,2470,8,0
2026-08-19 04:35:00,4350.7,4356.32,4350.24,4355.31,2556,8,0
2026-08-19 04:40:00,4355.34,4357.52,4354.1,4355.46,2328,8,0
2026-08-19 04:45:00,4355.41,4356.6,4350.83,4351.07,2423,8,0
2026-08-19 04:50:00,4350.99,4355.02,4350.47,4353.41,2202,8,0
2026-08-19 04:55:00,4353.41,4356.64,4352.7,4356.44,2129,8,0
2026-08-19 05:00:00,4356.41,4357.2,4351.59,4354.29,1856,8,0
2026-08-19 05:05:00,4354.42,4357.1,4352.86,4355.77,1802,8,0
2026-08-19 05:10:00,4355.95,4356.02,4352.49,4353.5,1515,8,0
2026-08-19 05:15:00,4353.62,4360.73,4352.47,4358.79,2573,7,0
2026-08-19 05:20:00,4358.79,4362.0,4357.84,4359.86,1824,9,0
2026-08-19 05:25:00,4359.87,4361.25,4358.93,4359.64,1899,8,0
2026-08-19 05:30:00,4359.6,4360.18,4355.6,4356.82,2802,8,0
2026-08-19 05:35:00,4356.79,4358.29,4354.12,4355.23,2541,8,0
2026-08-19 05:40:00,4355.2,4358.24,4354.78,4355.26,1854,8,0
2026-08-19 05:45:00,4355.29,4357.22,4354.13,4355.51,2157,8,0
2026-08-19 05:50:00,4355.48,4356.45,4352.92,4353.96,2230,10,0
2026-08-19 05:55:00,4353.98,4355.06,4351.44,4354.92,1668,8,0
2026-08-19 06:00:00,4354.92,4356.06,4352.7,4355.63,2185,8,0
2026-08-19 06:05:00,4355.58,4355.58,4351.92,4353.68,2060,9,0
2026-08-19 06:10:00,4353.66,4355.26,4353.39,4354.45,1793,8,0
2026-08-19 06:15:00,4354.44,4356.1,4351.78,4352.72,2106,13,0
2026-08-19 06:20:00,4352.74,4355.76,4351.81,4355.63,1498,9,0
2026-08-19 06:25:00,4355.66,4357.92,4355.66,4357.03,1381,11,0
2026-08-19 06:30:00,4357.05,4358.37,4355.86,4356.93,1229,8,0
2026-08-19 06:35:00,4356.95,4360.33,4356.92,4358.13,963,8,0
2026-08-19 06:40:00,4358.04,4358.73,4356.93,4358.44,959,9,0
2026-08-19 06:45:00,4358.52,4358.8,4356.32,4357.79,955,9,0
2026-08-19 06:50:00,4357.78,4358.44,4355.69,4355.72,973,9,0
2026-08-19 06:55:00,4355.7,4356.51,4354.73,4354.96,876,9,0
2026-08-19 07:00:00,4355.12,4356.21,4353.43,4353.78,997,14,0
2026-08-19 07:05:00,4353.8,4354.81,4353.06,4354.4,745,8,0
2026-08-19 07:10:00,4354.4,4354.9,4353.55,4354.64,855,9,0
2026-08-19 07:15:00,4354.62,4354.95,4350.06,4352.34,1294,8,0
